Team Name,Team Elo,
Blossom,1200,
Lunar Foxes,1200,
Essence,1200,
LiveForever,1200,
Pumpkin Pandas,1200,
Wisterieya,1200,
Twelve,1200,
Team Tokki,1200,
Frogchamps,1200,
Spacecats,1200,
Morte et Dabo,1200,
Moonlit Oblivion,1200,
Icon,1200,
Very Small Eggs,1200,
Meka Squad,1200,
Witches Coven / Synthesis,1200,
Anima,1200,
Altiora Skywards,1200,
DU Pioneers,1200,
Rising Lotus Gaming,1200,
Alternate Lanterns,1200,
Altiora Summit,1200,
Ethereal Remix,1200,
Fruit Salad,1200,
DoubleBubble,1200,
United in Chaos,1200,
Discord Kittens,1200,
Nightshade,1200,
Glade,1200,
Vancouver Titans Blue,1200,
Cataclysm,1200,
Stepsisters,1200,
Defiance Night Witches,1200,
Lawn Mooers,1200,
Ban on Choccy Milk,1200,
Unironic,1200,
#1 on Overbuff,1200,
Mochi,1200,
Purr-suit,1200,
Altiora Nimbus,1200,
1:30 Timezone,1200,
Timeless Ethereal,1200,
Shikigami,1200,
Dart Monkeys,1200,
Altiora Polaris,1200,
Altiora Artemis,1200,
ThrowawayTeam,1200,
