Team Name,Team Elo,
Altiora Artemis,1425,
Dart Monkeys,1400,
Ban on Choccy Milk,1400,
Altiora Polaris,1350,
Timeless Ethereal,1325,
Altiora Nimbus,1300,
Shikigami,1275,
Mochi,1275,
Purr-suit,1250,
#1 on Overbuff,1250,
Unironic,1250,
Defiance Night Witches,1250,
Cataclysm,1250,
DU Pioneers,1250,
Stepsisters,1225,
Glade,1225,
Ethereal Remix,1225,
LiveForever,1225,
United in Chaos,1200,
Very Small Eggs,1200,
Lawn Mooers,1175,
Vancouver Titans Blue,1175,
Discord Kittens,1175,
DoubleBubble,1175,
Alternate Lanterns,1175,
Altiora Skywards,1175,
Spacecats,1175,
Essence,1175,
1:30 Timezone,1150,
Fruit Salad,1150,
Altiora Summit,1150,
Witches Coven / Synthesis,1150,
Meka Squad,1150,
Morte et Dabo,1150,
Frogchamps,1150,
Rising Lotus Gaming,1125,
Anima,1125,
Icon,1125,
Moonlit Oblivion,1125,
Twelve,1125,
Wisterieya,1125,
Pumpkin Pandas,1125,
Nightshade,1100,
Lunar Foxes,1100,
Blossom,1075,
Team Tokki,1050,
