Team Name,Team Elo,
Altiora Artemis,1316,
Dart Monkeys,1301,
Altiora Polaris,1282,
Ban on Choccy Milk,1274,
Timeless Ethereal,1266,
Altiora Nimbus,1262,
Shikigami,1245,
Mochi,1239,
#1 on Overbuff,1239,
Purr-suit,1235,
Defiance Night Witches,1231,
Unironic,1228,
Cataclysm,1224,
DU Pioneers,1224,
ThrowawayTeam,1220,
LiveForever,1216,
Stepsisters,1212,
Glade,1211,
Ethereal Remix,1206,
United in Chaos,1200,
Altiora Skywards,1195,
DoubleBubble,1191,
Very Small Eggs,1190,
Alternate Lanterns,1189,
Vancouver Titans Blue,1184,
Discord Kittens,1184,
Spacecats,1184,
Essence,1184,
Lawn Mooers,1175,
Witches Coven / Synthesis,1175,
Fruit Salad,1172,
Frogchamps,1170,
1:30 Timezone,1168,
Altiora Summit,1166,
Moonlit Oblivion,1160,
Morte et Dabo,1159,
Meka Squad,1157,
Rising Lotus Gaming,1150,
Icon,1149,
Anima,1148,
Wisterieya,1147,
Twelve,1146,
Pumpkin Pandas,1145,
Nightshade,1141,
Lunar Foxes,1128,
Team Tokki,1123,
Blossom,1115,
