Team Name,Team Elo,
Altiora Artemis,1341,
Dart Monkeys,1313,
Altiora Polaris,1287,
Timeless Ethereal,1286,
Ban on Choccy Milk,1271,
Altiora Nimbus,1262,
1:30 Timezone,1248,
Shikigami,1246,
Road to Glory,1232,
#1 on Overbuff,1230,
To Be Named,1229,
Defiance,1228,
Mochi,1228,
Unironic,1224,
Purr-suit,1220,
LiveForever,1216,
Glade,1214,
Stepsisters,1213,
DU Pioneers,1207,
Spacecats,1199,
Very Small Eggs,1195,
Ethereal Remix,1194,
Morte et Dabo,1194,
Icon,1190,
Cataclysm,1184,
DoubleBubble,1184,
Essence,1184,
Altiora Skywards,1183,
Lawn Mooers,1183,
Nightshade,1183,
United in Chaos,1183,
Discord Kittens,1182,
Vancouver Titans Blue,1182,
Frogchamps,1168,
The Witches Coven,1168,
Synthesis,1167,
Alternate Lanterns,1166,
Fruit Salad,1165,
Moonlit Oblivion,1162,
Twelve,1151,
Rising Lotus Gaming,1150,
Wisterieya,1150,
Meka Squad,1149,
Team Tokki,1142,
Pumpkin Pandas,1136,
Lunar Foxes,1123,
Blossom,1117,
Altiora Summit,1115,
Anima,1105,
